"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"6/30/2023","DUNKIN","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($5.67)"
"6/30/2023","INTEREST PAID","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Interest Income","No","No","$77.55"
"6/30/2023","INTEREST PAID","Charles Schwab US","CHARLES SCHWAB CHECKING","Interest Income","No","No","$0.02"
"6/30/2023","TELADOC HEALTH I DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$3743.32"
"6/30/2023","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"6/29/2023","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"6/29/2023","DUNKIN","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.69)"
"6/29/2023","ODP TRANSFER TO CHECKING","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","($137.88)"
"6/29/2023","DISCOVER EPAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1948.08)"
"6/29/2023","ODP TRANSFER FROM SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","$137.88"
"6/29/2023","CHASE CREDIT CRD AUTOPAY PPD ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1082.88)"
"6/28/2023","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$1948.08"
"6/28/2023","AUTOMATIC PAYMENT THANK","Chase - via Direct Web API","CHASE FREEDOM","Credit Card Payment","No","No","$1082.88"
"6/27/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($2)"
"6/27/2023","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"6/27/2023","AUTOPAY PAYMENT THANK YOU","American Express - Amex Account - via Direct Web Access","AMEX","Credit Card Payment","No","No","$1808.89"
"6/27/2023","AMERICAN EXPRESS PMT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1808.89)"
"6/26/2023","ZELLE PAYMENT TO JORGE","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($1000)"
"6/26/2023","DUNKIN","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.69)"
"6/26/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($28.12)"
"6/26/2023","ZELLE PAYMENT FROM JAYANTH JAYARAMAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$96.5"
"6/25/2023","ZELLE PAYMENT FROM ARAVIND KUNIAMUTHUR KALIAPPAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$224.26"
"6/25/2023","ZELLE PAYMENT FROM NARAYANAN VENGADESAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$2.06"
"6/25/2023","TARGET","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($35.52)"
"6/25/2023","INDIAN VEGETARIAN RE FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($10.79)"
"6/24/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($20.59)"
"6/24/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($1)"
"6/23/2023","CHICKFILA","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($15.69)"
"6/23/2023","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"6/22/2023","TXU BILL PAYMENT","Chase - via Direct Web API","CHASE FREEDOM","Energy, Gas & Electric","No","No","($103.64)"
"6/21/2023","CIRCLE K","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($40.8)"
"6/21/2023","DUNKIN PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.69)"
"6/19/2023","FOREIGN FEE","Chase - via Direct Web API","CHASE FREEDOM","Bank Fee","No","No","($38.2)"
"6/18/2023","ATM WITHDRAWAL HICK","Chase - via Direct Web API","CHASE CHECKING","Cash/ATM","No","No","($300)"
"6/18/2023","QR INDIA MBE SALESVIS","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($1273.34)"
"6/18/2023","QATAR AIR","Chase - via Direct Web API","CHASE FREEDOM","Air Travel","No","No","($1721.71)"
"6/18/2023","QATAR AIR KBAUI","Chase - via Direct Web API","CHASE FREEDOM","Air Travel","No","No","($63.2)"
"6/18/2023","TARGET PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($43.56)"
"6/18/2023","APLPAY TST VELVET TTHE COLONY TX","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($3.02)"
"6/18/2023","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"6/17/2023","ABC FITNESS CLUBCHARGE PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($308)"
"6/17/2023","DOMINOS","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($19.31)"
