"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"6/14/2024","SIGNIFY HEALTH L DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$3838.06"
"6/14/2024","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"6/13/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($21.64)"
"6/13/2024","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"6/13/2024","COSTCO WHSE FRISCO TX","Chase - via Direct Web API","CHASE CHECKING","Groceries","No","No","($177.75)"
"6/12/2024","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","Yes","($5.5)"
"6/12/2024","KABILAN BASKARAN IAT PAYPAL WEB ID","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($31)"
"6/12/2024","FOREIGN FEE","Chase - via Direct Web API","CHASE FREEDOM","Bank Fee","No","No","($0.07)"
"6/11/2024","GOOGLE YOUTUBEPREMIUM","Chase - via Direct Web API","CHASE FREEDOM","Entertainment","No","No","($2.44)"
"6/11/2024","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($5.24)"
"6/9/2024","BAKERY CAFE USA","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($6.25)"
"6/9/2024","DAISO FRISCO","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($76.32)"
"6/9/2024","SNACK SOMI SOMI FRISC","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($4.28)"
"6/9/2024","HELLO INDIA PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($2)"
"6/9/2024","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($20.11)"
"6/8/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($8.75)"
"6/8/2024","WM SUPERCENTER","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($37.91)"
"6/8/2024","ESPN PLUS","Chase - via Direct Web API","CHASE FREEDOM","Subscriptions","No","No","($11.87)"
"6/8/2024","HELLO INDIA PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($11.73)"
"6/7/2024","IKEAFRISCO","Chase - via Direct Web API","CHASE FREEDOM","Furniture & Home Decor","No","No","($134.7)"
"6/7/2024","SWADESHI PLAZA CASTLE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($69.86)"
"6/7/2024","AMAZON PRIME AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Subscriptions","No","No","($16.23)"
"6/7/2024","SWADESHI PLAZA CASTLE","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($3.24)"
"6/7/2024","TEMUCOM WILMINGTON DE","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($83.7)"
"6/7/2024","CRUNCH FIT CLUB FEES PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($34.71)"
"6/6/2024","APLPAY HELLO INDIA PLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Groceries","No","No","($2)"
"6/6/2024","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($27.96)"
"6/5/2024","ATT UVERSE PAYMENT TX","American Express - Amex Account - via Direct Web Access","AMEX","Phone, Internet & Cable","No","No","($55.58)"
"6/5/2024","MICROSOFT","Chase - via Direct Web API","CHASE FREEDOM","Electronics & Software","No","No","($2.09)"
"6/4/2024","APLPAY HELLO INDIA PLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Groceries","No","No","($2)"
"6/4/2024","CINEMARK THEATRES TX","American Express - Amex Account - via Direct Web Access","AMEX","Entertainment","No","No","($7.04)"
"6/4/2024","ENVATO CHICAGO IL","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($214.34)"
"6/3/2024","CIRCLE K PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($40.77)"
"6/3/2024","WALMART STORE PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($64.89)"
"6/3/2024","AUTOMATIC STATEMENT CREDIT","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$5.28"
"6/2/2024","LEMONADE INSURANCE","Chase - via Direct Web API","CHASE FREEDOM","Insurance","No","No","$55.04"
"6/2/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($93.18)"
"6/2/2024","DOLLARGENERAL","Chase - via Direct Web API","CHASE FREEDOM","Merchandise/Misc","No","No","($38.43)"
"6/2/2024","PANDA EXPRESS","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($22.08)"
"6/2/2024","DOLLAR TREE","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($81.19)"
"6/2/2024","VIVEK FLOWERS TX","American Express - Amex Account - via Direct Web Access","AMEX","Gifts","No","No","($4.33)"
"6/2/2024","APLPAY DESI BITES PLPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Fast Food & Convenience","No","No","($4.4)"
"6/1/2024","ONLINE TRANSFER FROM CHK","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","$400"
"6/1/2024","APPLECARD GSBANK PAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($639.85)"
"6/1/2024","ONLINE TRANSFER TO SAV","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"6/1/2024","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($350)"
"6/1/2024","COSTCO WHSE FRISCO TX","Chase - via Direct Web API","CHASE CHECKING","Groceries","No","No","($274.75)"
"6/1/2024","SWADESHI PLAZA CASTLE","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($2.17)"
"6/1/2024","APLPAY TST KARYA SIFRISCO TX","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($9.17)"
"5/31/2024","INTEREST PAID","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Interest Income","No","No","$72.94"
"5/31/2024","INTEREST PAID","Charles Schwab US","CHARLES SCHWAB CHECKING","Interest Income","No","No","$0.02"
"5/31/2024","WALMART SUPERCENTERPLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($114.06)"
"5/31/2024","ROSS STORE FRISCO TX","American Express - Amex Account - via Direct Web Access","AMEX","Clothing","No","No","($175.18)"
"5/31/2024","SIGNIFY HEALTH L DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$4009.84"
"5/31/2024","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"5/30/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($33.31)"
"5/30/2024","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"5/30/2024","TARGET FRISCO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shopping","No","No","($14.86)"
"5/30/2024","BELL WEB PMTS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Rent","No","No","($272.23)"
"5/30/2024","HIGHMARKRES WEB PMTS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Rent","No","No","($1630)"
"5/30/2024","ZELLE PAYMENT TO AT AND T","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($10)"
"5/29/2024","UHAULGOIN POSTAL","Chase - via Direct Web API","CHASE FREEDOM","Shipping & Handling","No","No","($54.85)"
"5/29/2024","LEMONADE INSURANCE","Chase - via Direct Web API","CHASE FREEDOM","Insurance","No","No","($60)"
"5/29/2024","BIGDASH ICECREAM&PASTRIE FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($5.4)"
"5/29/2024","HELLO INDIA PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($33.38)"
"5/29/2024","PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($7.23)"
"5/29/2024","ZELLE PAYMENT TO MOVING","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","($20)"
"5/29/2024","DISCOVER EPAYMENT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1847.46)"
"5/29/2024","CHASE CREDIT CRD AUTOPAY PPD ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1584.94)"
"5/28/2024","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$1847.46"
"5/28/2024","WALMART STORE PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($35.51)"
"5/28/2024","AMERICAN EXPRESS PMT WEB ID","Chase - via Direct Web API","CHASE CHECKING","Credit Card Payment","No","No","($1895.38)"
"5/28/2024","AUTOMATIC PAYMENT THANK","Chase - via Direct Web API","CHASE FREEDOM","Credit Card Payment","No","No","$1584.94"
"5/27/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($19.96)"
"5/27/2024","SWADESHI PLAZA CASTLE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($7.12)"
"5/27/2024","VIVEK FLOWERS FRISCO FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gifts","No","No","($4.33)"
"5/27/2024","USPS CHANGE OF ADDRESS TN","Discover Credit Card - via Direct Web Access","DISCOVER","Shipping & Handling","No","No","($1.1)"
"5/27/2024","HELLO INDIA PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($4.71)"
