,Transaction Date,Description,Institution,Account,Category,Is Hidden,Is Pending,Amount,Standardized Description,Master Category
0,2023-06-13,AMZN MKTP US AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-16.63,AMAZON,SHOPPING/GROCERIES
1,2023-06-13,FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,GAS & FUEL,No,No,-30.0,FRISCO TX,BILLS AND UTILITIES
2,2023-06-13,AMZN MKTP US AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-23.99,AMAZON,SHOPPING/GROCERIES
3,2023-06-12,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
4,2023-06-12,ZELLE PAYMENT TO BOOKSHELF,Chase - via Direct Web API,CHASE CHECKING,PAYMENT,No,No,-10.0,ZELLE PAYMENT TO BOOKSHELF,MISCELLANEOUS
5,2023-06-12,REDEMPTION CREDIT,Chase - via Direct Web API,CHASE FREEDOM,INCOME,No,No,83.64,REDEMPTION CREDIT,INCOME
6,2023-06-12,TST KARYA SIDDHI HANU,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-16.96,TST KARYA SIDDHI HANU,FOOD AND DINING
7,2023-06-11,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
8,2023-06-10,BRAUMS STORE,Chase - via Direct Web API,CHASE FREEDOM,FAST FOOD & CONVENIENCE,No,No,-15.54,BRAUMS STORE,FOOD AND DINING
9,2023-06-10,BAWARCHI EXPRESS,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-29.12,BAWARCHI EXPRESS,FOOD AND DINING
10,2023-06-09,TARGET,Chase - via Direct Web API,CHASE FREEDOM,SHOPPING,No,No,-14.4,TARGET,SHOPPING/GROCERIES
11,2023-06-09,AMZN MKTP US AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-11.24,AMAZON,SHOPPING/GROCERIES
12,2023-06-09,PATEL BROTHERS FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,GROCERIES,No,No,-32.12,PATEL BROTHERS FRISCO TX,SHOPPING/GROCERIES
13,2023-06-08,AMZN MKTP US AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-35.6,AMAZON,SHOPPING/GROCERIES
14,2023-06-08,PALMS ASSOCIATES RENTAL WEB ID,Chase - via Direct Web API,CHASE CHECKING,RENT,No,No,-1535.04,PALMS ASSOCIATES RENTAL WEB ID,BILLS AND UTILITIES
15,2023-06-07,CHICKFILA,Chase - via Direct Web API,CHASE FREEDOM,FAST FOOD & CONVENIENCE,No,No,-13.21,CHICKFILA,FOOD AND DINING
16,2023-06-07,ATT UVERSE PAYMENT TX,American Express - Amex Account - via Direct Web Access,AMEX,"PHONE, INTERNET & CABLE",No,No,-51.87,ATT UVERSE PAYMENT TX,BILLS AND UTILITIES
17,2023-06-07,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
18,2023-06-07,ZELLE PAYMENT TO AUTOMATED TECHNOLOGY SOLUTIONS LLC,Chase - via Direct Web API,CHASE CHECKING,PAYMENT,No,No,-40.0,ZELLE PAYMENT TO AUTOMATED TECHNOLOGY SOLUTIONS LLC,MISCELLANEOUS
19,2023-06-07,CRUNCH FIT CLUB FEES PPD ID,Chase - via Direct Web API,CHASE CHECKING,GYM,No,No,-18.48,CRUNCH FIT CLUB FEES PPD ID,HEALTH
20,2023-06-05,NTTA AUTOCHARGE TX,Discover Credit Card - via Direct Web Access,DISCOVER,TOLLS,No,No,-20.0,NTTA AUTOCHARGE TX,BILLS AND UTILITIES
21,2023-06-04,LYFT RIDES,Chase - via Direct Web API,CHASE FREEDOM,RIDESHARE,No,No,-10.96,LYFT RIDES,BILLS AND UTILITIES
22,2023-06-04,AMAZON PRIME AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SUBSCRIPTIONS,No,No,16.23,AMAZON,SUBSCRIPTIONS
23,2023-06-04,TARGET FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-35.76,TARGET,SHOPPING/GROCERIES
24,2023-06-04,ENVATO CHICAGO IL,American Express - Amex Account - via Direct Web Access,AMEX,SUBSCRIPTIONS,No,No,-214.34,ENVATO CHICAGO IL,SUBSCRIPTIONS
25,2023-06-03,ABC FITNESS CLUBCHARGE PPD ID,Chase - via Direct Web API,CHASE CHECKING,GYM,No,No,-308.0,ABC FITNESS CLUBCHARGE PPD ID,HEALTH
26,2023-06-03,LEGACY CAR WASH DETA,Chase - via Direct Web API,CHASE FREEDOM,AUTO SERVICE,No,No,-164.0,LEGACY CAR WASH DETA,BILLS AND UTILITIES
27,2023-06-03,AMAZON PRIME AMZN.COM BILLWA,Discover Credit Card - via Direct Web Access,DISCOVER,SUBSCRIPTIONS,No,No,-16.23,AMAZON,SUBSCRIPTIONS
28,2023-06-03,AUTOMATIC STATEMENT CREDIT,Discover Credit Card - via Direct Web Access,DISCOVER,INCOME,No,No,20.62,AUTOMATIC STATEMENT CREDIT,INCOME
29,2023-06-03,CIRCLE K PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,GAS & FUEL,No,No,-35.3,CIRCLE K PLANO TX,BILLS AND UTILITIES
30,2023-06-03,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
31,2023-06-02,DUNKIN,Chase - via Direct Web API,CHASE FREEDOM,COFFEE,No,No,-3.02,DUNKIN,FOOD AND DINING
32,2023-06-02,KRISPY KREME,Chase - via Direct Web API,CHASE FREEDOM,FAST FOOD & CONVENIENCE,No,No,-4.79,KRISPY KREME,FOOD AND DINING
